r_center,r_halfwidth,k_sq,i,j,a_lo,b_lo,primes,dsu_groups,port_groups,ports_I,ports_O,ports_L,ports_R,sum_n,max_label,overflow_128,overflow_256
60000000,4096,36,114445,204550,29297920,52364800,2594,104,41,18,17,20,18,73,41,0,0
60000000,4096,36,140906,187282,36071936,47944192,2550,80,31,21,17,15,21,74,31,0,0
60000000,4096,36,9373,234195,2399488,59953920,2532,102,41,16,17,19,25,77,41,0,0
60000000,4096,36,64999,225188,16639744,57648128,2537,97,37,16,18,18,17,69,37,0,0
60000000,4096,36,38061,231263,9743616,59203328,2589,88,40,17,19,24,15,75,40,0,0
60000000,4096,36,150443,179702,38513408,46003712,2572,93,41,18,18,19,22,77,41,0,0
60000000,4096,36,147998,181754,37887488,46529024,2552,100,40,23,14,18,15,70,40,0,0
60000000,4096,36,133719,192495,34232064,49278720,2632,91,34,12,14,19,19,64,34,0,0
60000000,4096,36,16935,233761,4335360,59842816,2565,100,40,18,20,17,17,72,40,0,0
60000000,4096,36,134274,192111,34374144,49180416,2546,106,47,20,21,18,18,77,47,0,0
60000000,4096,36,6587,234268,1686272,59972608,2628,97,46,25,18,18,17,78,46,0,0
60000000,4096,36,18247,233671,4671232,59819776,2570,108,45,16,24,16,21,77,45,0,0
60000000,4096,36,3765,234342,963840,59991552,2559,89,45,17,17,16,22,72,45,0,0
60000000,4096,36,66641,224715,17060096,57527040,2532,93,40,16,20,18,17,71,40,0,0
60000000,4096,36,33827,231922,8659712,59372032,2573,95,37,20,21,16,15,72,37,0,0
60000000,4096,36,153870,176785,39390720,45256960,2575,112,50,14,20,24,23,81,50,0,0
60000000,4096,36,139579,188294,35732224,48203264,2555,102,42,13,17,17,19,66,42,0,0
60000000,4096,36,112550,205567,28812800,52625152,2572,82,38,17,25,14,23,79,38,0,0
60000000,4096,36,79965,220296,20471040,56395776,2490,116,54,22,20,19,16,77,54,0,0
60000000,4096,36,58869,226862,15070464,58076672,2533,106,44,23,17,18,21,79,44,0,0
